English,ISL-Gloss
I am a bit drunk., i bite drunk bite
It's impossible to change it now., it impossible it now change
You got here too early., you here too early get here
Don't make me do it again., me it again make do no
I shouldn't have done that without permission., i that permission do no
I don't know when I'll be back., i i back know when no
This is simply not true., this true simply no
Tom thanked everyone for waiting., tom everyone thank wait
He felt ill at ease., he ill ease felt
I found your gloves in my car., i your my your glove my car find
My mother is preparing breakfast., my mother breakfast prepare
We have to go shopping., we have go shop
I already know where Tom works., i tom already know work where
I'm headed back into town., i back into town head back
The Bible has it written like this., bible it this write like
How many pictures has Tom taken?, many tom many picture take how
Don't be such a fool., such fool no
I already sold that., i already that sell
I have a gun., i gun have
What's in your medicine cabinet?, your your medicine cabinet what
I'm not surprised., i surprise no
Nobody wants to work., nobody want work
May I share this table with you?, i this table you share
She's drop-dead gorgeous., she dead gorgeous
I hope all your dreams come true., i all your dream true hope come
An ice pack will numb the pain., ice pack pain numb
Very little is known about them., very little very them know about
No one stops to listen to him., no one no him stop listen to
"You liked that movie, didn't you?", you you that movie like do no
We're all proud of you., we proud of all you
Tom missed it., tom it miss
We only have one television., we only one television have
Who was this picture painted by?, this picture this paint by who
Until now I've never used an axe., i axe use no
Please light a candle., candle light
I like wild flowers., i wild wild flower like
How important are children to you?, important child to you how
I had second thoughts., i second second thought have
I mopped the floor., i floor mop
Where's the entrance to the museum?, entrance to museum where
Tom and Mary are the winners., tom and mary winner
I was present at the meeting., i present at meet
If only I had taken your advice., i your only your advice take
He looked for the key., he key look for
Who's chairing the meeting today?, meet today chair who
I hope Tom is safe., i tom safe hope
Did you get her letter?, you her her letter get
My hands are cold., my hand cold
I can't teach you anything else., i you anything else teach no
The deer ran for its life., deer its its life run for
I forgot my pen., i my my pen forget
The king took his clothes off., king his his clothes take
"I'm sorry, I didn't hear you.", i sorry i you hear no
He accomplished his mission., he his his mission accomplish
I feel wonderful., i wonderful feel
You'd be perfect for that., you perfect for that
Why don't you shut up?, you shut up why no
Who is this woman?, this woman this who
They invited me to dinner., they me dinner invite
I love strawberries on Christmas cake., i strawberry on christmas cake love
I checked the date., i date check
I think you should drink some coffee., i you some coffee think drink
What do you think they're after?, you they think what
I'll attend the meeting., i meet attend
This watch is a real bargain., this watch real this real bargain
That's so untrue., that so untrue so
What do you hope to find here?, you here hope find here what
Don't just stand there., just there stand there no
Tom had never seen Mary that angry., tom that angry mary see no
You don't seem very sure., you sure very sure seem very no
This week I had three midterms., i this week three midterm have
Have you ever been lonely?, you lonely ever
Can you read that?, you that read
"You were hurt, weren't you?", you you hurt no
There's a storm coming., there storm come 's come
I made him sweep the floor., i him floor make sweep
Snap out of it!, it snap out
Can you please translate this for me?, you this for me translate
The bicycle by the door is mine., bicycle by door mine
It's about time., it time
Please do not buy it., it buy no
He broke the window on purpose., he window purpose break
We're in agreement., we agreement
I'm saving up for my old age., i my old my old age save up
I've been silent for a long time., i silent for long long time
It's not that long a flight., it long that long flight no
I really must finish this., i really this finish
How did you hurt your back?, you your your back hurt how
It is already dark., it dark already
I'll treat you to dinner., i you dinner treat
Many restaurants now have free Wi-Fi., many restaurant free now free wi fi have
I've never noticed that before., i that before notice no
She refused to accept the post., she post refuse accept
It's a very delicate subject., it delicate very delicate subject
This is perfectly normal., this perfectly normal perfectly
I need new shoes., i new new shoe need
I haven't yet eaten anything today., i yet anything today eat no
I think you're drunk., i you drunk think
Tom isn't in bed., tom bed no
The Japanese economy developed rapidly., japanese economy rapidly develop rapidly
I'm not creative., i creative no
Tom pushed Mary into doing that., tom mary that push do
He must be an honest man., he honest honest man
I consider myself fortunate., i myself fortunate consider
He sold all his land., he his all his land sell
You're always saying that., you always that say
I'm too lazy to do my homework., i too lazy do my too my homework do
I'm going to go call the police., i police go go call
Can you meet me in the auditorium?, you me auditorium meet
I'm in the same boat as you., i same same boat as you
Why don't you have a boyfriend?, you boyfriend have why no
Are you ready?, you ready
Both boys were rescued., both boy both rescue
Come quickly. It's urgent., it urgent quickly come quickly
What can we do for Tom?, we tom do for what
Do you believe in reincarnation?, you reincarnation believe in
I think you look really great., i you really great really think look really
Tom isn't your brother., tom your your brother no
I know Tom is self-conscious., i tom self - conscious self know
Kids do stupid things., kids stupid stupid thing do
It can be dangerous., it dangerous
Organic food tastes better., organic food well taste well
Your time is up., your time up
Tom quickly realized that something was wrong., tom something wrong quickly realize
You must be exhausted., you exhaust
Tom is madly in love with Mary., tom madly love with mary
This wine is very expensive., this wine very expensive this very
He stood there with his eyes closed., he his there his eye stand there close
I'm not telling you anything., i you anything tell no
We all had hope., we all hope have
I don't get opera., i opera get no
"Line up by height, please.", height line up
I forgot my jacket., i my my jacket forget
He saved us all., he us all save
Maybe you'd better come with us., you maybe better us come with
We don't take credit cards., we credit card take no
Are you falling for me?, you me fall for
Some of my best friends are policemen., some of my best my best friend policeman
It's easy if you try., it easy you try
Tom married a much younger woman., tom young much young woman marry
The baby is asleep., baby asleep
Thanks for the hint., hint
Why don't dogs like cats?, cat why no
I received your letter yesterday., i your your letter yesterday receive
This is way better., this way well way
That's what I told them., that i them tell what
I want you to go home., i you home want go home
You're not good at this., you good at this no
Who picked you for this job?, you this job pick who
I had a nosebleed today., i nosebleed today have
Please close the door behind you., door behind you close
What do you suggest that I do?, you i suggest do what
I wish I could do the same., i i same same wish do
She burst into tears., she tear burst into
Nothing appears to be missing., nothing appear miss
Is he a friend of yours?, he friend of yours
I think that's an important point., i that important important point think
What do you learn at school?, you school learn at what
I almost forgot., i almost forget
You might be late for school., you late for school
Have you considered that?, you that consider
I broke that., i that break
Tom is on the bus., tom bus
Tom buttoned his coat., tom his his coat button
No news is good news., no news good no good news
Your request is denied., your request deny
I know none of them., i none of them know
Who gave you all that money?, you all that money give who
I want to go out with her., i her want go out
Tom has an opinion on everything., tom opinion on everything have
This is your chance., this your your chance
Are you studying chemistry?, you chemistry study
I know what this is about., i this know what
He can help you out., he you help
There's something I have to ask you., there i something have you 's have ask
I'm really busy., i really busy really
Can the rumor be true?, rumor true
Who are you texting?, you texting who
She is a most gracious neighbor., she gracious most gracious neighbor
We just got here., we just here get here
Where could he be?, he where
Let's talk over a cup of coffee., 's cup of coffee let talk over
Tell Tom what Mary told you., mary tom what you tell tell
The concert was awful., concert awful
I had some time to think., i some time think have think
Do you have safety deposit boxes?, you safety deposit box have
She hired him as an interpreter., she him interpreter hire
I don't believe it happened that way., i it that way believe happen no
Tom hates raw onions., tom raw raw onion hat
That book is worth reading., that book worth read that read
Tom shouldn't have married Mary., tom mary marry no
Do you want to see the list?, you list want see
Please tell me how to cook sukiyaki., me sukiyaki tell cook how
I have difficulty in understanding him., i difficulty in him have understand
The teacher told them to stop fighting., teacher them tell stop fight
You shouldn't be here today., you here today no
I needed help., i help need
He doesn't come here every day., he here every day come here no
"You're depressed, aren't you?", you depress you no
Dust had accumulated on the desk., dust desk accumulate on
When did you buy it?, you it buy when
She couldn't convince him to go home., she him home convince go home no
How many did you get?, many you many get how
I think you need some sleep., i you some sleep think need
I just want to be near you., i just you want
I will come., i come
I'd like to sit near the front., i front like sit near
"By the way, where are you from?", you way where
Do you believe what he said?, you he believe say what
How many symphonies did Beethoven write?, many beethoven many symphony write how
I'd buy that., i that buy
He will make a good team captain., he good good team captain make
Twenty families live here., twenty family twenty here live here
I can do this all night., i this all night do
He got away., he away get away
What are you mad at me for?, you mad at me what
Tom showed Mary something., tom mary something show
All men must die., all men all die
I should've gone home., i home go home
I've been working on this all day., i this all day work on
My bedroom is too small., my bedroom too small too
They armed themselves with guns., they themselves gun arm
Tom is thirsty., tom thirsty
What are your responsibilities?, your responsibility what
The peace talks failed once again., peace talk once again fail once
It is difficult to give up smoking., it difficult smoke give up
What are they complaining about?, they complain about what
It's not that nice., it that nice that no
He turned around., he turn around
He denied it immediately., he it immediately deny
This book deals with China., this book this china deal with
A lot of tourists invaded the island., lot of tourist island invade
The two brothers are still alive., two brother alive two still
Your daughters are beautiful., your daughter beautiful
He touched me., he me touch
"You just don't get it, do you?", you you just it get do no
I can't even think about it., i even it think about no
A large bird landed on the windowsill., large bird windowsill land on
I was unable to save Tom., i unable save tom save
I want you to die., i you want die
There are only three options., there only three option only
I can't wait to die., i wait die no
Tom wanted to be part of that., tom part of that want
I'll take care of that., i care that take
She did her best to rescue him., she her best her best him do rescue
He's kind of shy., he of shy kind of
I'll take that one., i that one take
They grow fruit here., they fruit here grow
That's why he lost his job., that he his his job lose why
Please say the alphabet in reverse., alphabet in reverse say
Civilization is now threatened by nuclear war., civilization by nuclear war now nuclear war threaten by
You may choose whichever book you like., you you whichever book choose like
She argued with him about money., she him money argue with
There's no turning back., there no turn back 's turn back
A dog bit me this morning., dog me this morning
Let's go and say hello., 's let go say
That was cool., that cool
How much do these pants cost?, much these pant much these cost how
That's a good approach., that good good approach
Give me back my hat., my me back my hat give
Do you smoke cigars?, you cigar smoke
Does the coat fit well?, coat well fit well
We were a little tired., we little tired
How was Boston?, boston how
They live in a rented house., they rented rented house live in
Have you chosen a topic?, you topic choose
Tom kissed Mary lightly on the cheek., tom mary lightly cheek kiss
I know Tom's widow., i tom 's tom widow know
I sure appreciate all your help., i your sure all your help appreciate
Do you play baseball?, you baseball play
Someone should notify the next of kin., someone next next of kin notify
I work from Monday through Saturday., i monday saturday work from
Tomorrow's a holiday., tomorrow 's
I don't want any ice cream., i any ice cream want no
Take this medicine between meals., this medicine meal take
I have an idea for a song., i idea for song have
What's your age?, your age what
We're really drunk., we really drunk really
He looks older than my brother., he old than my my brother look
His house is somewhere about here., his house somewhere about
Everybody blames you., everybody you blame
Are you afraid of death?, you afraid of death
They were yours., they yours
He is actually not the manager., he actually manager no
My mother teaches flower arranging., my mother flower arrange teach arrange
I have finally reached my limit., i my finally my limit reach
So what happened?, so happen what
Translate this into French., this french translate
Do you want some rice?, you some rice want
How about tonight?, tonight how
I may as well go now., i as well now go now
Is everyone all right?, everyone all right all
What foods are you allergic to?, you allergic to what foods
Tom counts on Mary., tom mary count on
That day shall come., that day that come
This idea is controversial., this idea controversial this
Let's finish the job., 's job let finish
I was told to do that again., i that again tell do
Look up the word in the dictionary., word dictionary look up
I don't write the rules., i rule write no
I know Tom is boring., i tom bore know bore
I'm surprised you didn't know that., i surprised you know that know no
You have my attention already., you my my attention already have
I made these., i these make
"I'm kind of busy right now, Tom.", i of busy kind of right now tom
Have a nice vacation., nice nice vacation have
We can see his house over there., we his his house over there see
Stop me if you can., you me stop
I won't tell you this again., i you this again tell no
I've already read it., i already it read
I'm not a patient person., i patient patient person no
"My mother is a teacher, too.", my mother teacher too
He advocated the reduction of taxes., he reduction of tax advocate
What's in the coffee?, coffee what
I won't pay for you., i for you pay for no
He nudged me to go ahead., he me ahead nudge go ahead
She congratulated me on my success., she my me my success congratulate
I have a big announcement to make., i big big announcement make have make
"Of course, I'll marry you.", i of course you marry
All I want is your love., all i want your your love want
I forgot to ask him., i him forget ask
You'd better have your eyes examined., you your eye better have examine
Please have a seat., seat have
I don't know how they do it., i they it know do how no
Where do you want it delivered?, you it want deliver where
May I see you tomorrow?, i you tomorrow see
I don't find it that difficult., i that difficult it find no
I want my bicycle back., i my bicycle bicycle back want
My dog goes everywhere with me., my dog everywhere me go everywhere
I don't like being surprised., i surprise like no
May I eat this?, i this eat
Am I alone here?, i alone here
Try to avoid bad company., bad bad company try avoid
Do you want some coffee or something?, you some coffee or something want
We've sold all the tickets., we all ticket sell
You intimidate Tom., you tom intimidate
You're the reason I came., you i reason come come
Tom is afraid to tell the truth., tom afraid tell truth tell
It's almost over., it almost over almost
Should I take that as a compliment?, i that compliment take
This isn't the best one we have., this best we best one have have no
He admitted that it was true., he it true admit
Our main problem remains unsolved., our main problem unsolved remain
Is the battery fully charged?, battery fully charge
I am cooking now., i now cook now
I realize I'm just stating the obvious., i i obvious just obvious realize state
I spent all day in the library., i all day library spend
Never bite the hand that feeds you., that hand feed you bite feed
I was disgusted., i disgust
"Hopefully, that won't happen.", that hopefully happen no
I want many things., i many many thing want
An athlete must keep in good condition., athlete good good condition keep in
Tom is a biochemist., tom biochemist
It was a case of mistaken identity., it mistaken case of mistaken identity
Is mail delivered on Sunday?, mail deliver sunday deliver on
I don't have any problems at all., i any problem at all have no
Why are you so busy today?, you so busy so today why
I have to comb my hair., i my my hair have comb
I found the boy sound asleep., i boy asleep find sound
I was just messing around., i just around mess around
I don't feel safe here anymore., i safe here anymore feel no
I didn't catch your last name., i your last your last name catch no
He went there instead of his father., he his there instead his father go there
I'll go see if Tom is here., i tom here go see
I want a refund., i refund want
What foreign languages have you studied?, foreign you what foreign language study
He made me do it., he me it make do
Do you ever think about that guy?, you ever that guy think about
It's your only shot., it your only your only shot
I guess you'll need some help., i you some help guess need
I can't see him either., i him either see no
I value our friendship more than anything., i our our friendship more than anything value
He never seems to grow older., he old seem grow no
We need to win., we need win
I've just finished breakfast., i just breakfast finish
Tom owes us a favor., tom us favor owe
I must object., i object
Tom is adorable., tom adorable
You're in the right place., you right right place
I have to change tires., i tire have change
Could you move just a little closer?, you little close just little close move just
I've translated three French novels into English., i french three french novel english translate
Go two blocks and turn left., left two block go turn
The moon is full tonight., moon full tonight
He gave me a piece of advice., he me piece of advice give
Excuse me just a moment., me just moment excuse
I got there ahead of time., i there ahead of time get there
That child can count to twenty., that child that twenty count to
I can't stop him., i him stop no
He had called the rebels traitors., he rebel traitor call
He's checking his cellphone., he his his cellphone check
What do you call your mother?, you your your mother call what
I'm drinking water because I'm thirsty., i i thirsty water drink
Where is this train going?, this train this go where
"Tom is poor, but he's happy.", tom poor he happy
I'll meet you at the bus station., i you bus station meet
We want you to take it., we you it want take
All living things need oxygen., all live thing all oxygen live need
Why are you being mean to me?, you mean to me why
I don't know any martial arts., i martial any martial art know no
I appreciate all you've done., i you all do appreciate do
I have to do my homework., i my my homework have do
Japan is a rich country., japan rich rich country
Tom is stuttering., tom stutter
Don't you want to go out?, you out want go out no
"Bring me today's paper, please.", today 's me today paper bring
I want you to come right over., i you right over want come right
I thought that he would come., i he think come
I want you to handle this., i you this want handle
Tom is presumptuous., tom presumptuous
You are stupid., you stupid
Everyone is ready., everyone ready
I like these., i these like
I never stopped loving you., i you stop love no
"You couldn't solve the problem, could you?", you you problem solve no
I'll never be as good as Tom., i as good as as tom no
Can you see it?, you it see
You are always doubting my word., you my always my word doubt
Can you understand Tom?, you tom understand
Tom has never met Mary., tom mary meet no
Shots were fired., shots fire
I want to hear everything., i everything want hear
The bar was packed., bar pack
I really enjoyed that movie., i really that movie enjoy
I'm confused enough as it is., i confused enough it enough
Are the children already asleep?, child already asleep already
She left her ticket at home., she her her ticket home leave
You nearly died., you nearly die
I don't know who's involved., i know involve who no
Do you know when she will come?, you she know come when
Why are you so interested?, you so interested so why
What would I do without you?, i you do without what
No one will believe us., no one no us believe
Tom concealed his anger from Mary., tom his his anger mary conceal
My uncle has been diagnosed with leukemia., my uncle leukemia diagnose with
He's not in., he in no
We weren't allowed to talk., we allow talk no
Does he live here?, he here live here
You're a wonderful friend., you wonderful wonderful friend
Maybe you were followed., you maybe follow
It's quite spectacular., it quite spectacular quite
We accept all major credit cards., we major all major credit card accept
I am going to Osaka station., i osaka station go to
She put it in the box., she it box put
I don't have any further details., i further any further detail have no
What's Tom like?, tom what
When do you plan to check out?, you plan check out when
She went to Italy to study literature., she italy literature go to study
That can happen., that happen
I don't know what that is., i that know what no
I heard someone knocking., i someone hear knock
I was miserable without you., i miserable you
I called earlier., i earlier call earlier
It was all your imagination., it your all your imagination
Tom didn't really enjoy studying French., tom really french enjoy study no
Don't be so childish., so childish so no
We're hoping to visit Boston this summer., we boston this summer hop visit
Which is correct?, which correct
He must be very happy., he very happy very
He is running., he run
I don't know if there is time., i there time know no
I will speak to you tomorrow., i you tomorrow speak to
They were taken prisoner., they prisoner take
We often associate black with death., we black with often death associate
Be nice to her., nice to her
They began to quarrel among themselves., they themselves begin quarrel among
Will you join us?, you us join
You said that you hated Tom., you you tom say hat
Do you know what time they came?, you they time know come what
I don't have a problem with this., i problem with this have no
You'll be crying before long., you long cry before
We all enjoyed the movie., we all movie enjoy
I have to show you something., i you something have show
He laughed at me., he me laugh at
Look at this one., this one look at
Your house is very nice., your house very nice very
That was pretty awesome., that pretty awesome pretty
I thought she was sick., i she sick think
He did the work on his own., he his own work his own do
We know where you were., we you know where
Tom is going to visit Mary tomorrow., tom mary tomorrow go visit
How did you manage to escape?, you manage escape how
My headache is gone., my headache go
I thought I was alone here., i i alone here think
He encouraged me to try again., he me again encourage try again
It only works on Windows., it only windows work on
Come home as soon as you can., you home as soon can come home
I want you both to get them., i you both them want get
Dating is exhausting., dating exhaust
Is this your daughter?, this your your daughter
It makes me feel dirty., it me dirty make feel
I know Tom is sensible., i tom sensible know
You're very open., you very open very
Do you have anything to eat?, you anything eat have eat
Is this seat open?, this seat open this
I like this office., i this office like
There are many bridges in this city., there many many bridge in this city
I'm not coming with you., i you come with no
I don't see any blood., i any blood see no
What have you done this week?, you this week do what
I have a sharp pain here., i sharp sharp pain here have
I found the subject fascinating., i subject fascinate find
I have a spare key., i spare spare key have
I think they like me., i they me think like
We had an oral exam., we oral oral exam have
Do you not like them?, you them like no
Nothing's happening right now., nothing right now happen right
Why does Tom want a horse?, tom horse want why
Tie your shoes., your your shoe tie
I like astrology., i astrology like
I had my doubts from the get-go., i my my doubt from get - go have
I did that a lot of times., i that lot of time do
It's not over yet., it over yet no
Was it difficult to make?, it difficult make make
I am afraid I can't help you., i afraid i help you help no
We stayed home because it was raining., we it home stay home rain
Show me your tattoo., your me your tattoo show
I'm not talking about you., i you talk about no
He will be back in ten minutes., he back in ten minute
It happened while I wasn't looking., it i happen look no
I can survive this., i this survive
I'm very proud of all of you., i very proud of very all of you
We never go to bed before midnight., we bed midnight go to no
He is absent from school today., he absent from school today
Weren't you here yesterday?, you here yesterday no
I could use some sleep., i some sleep use
Tom turned his headlights off., tom his his headlight turn
We went on a picnic together., we picnic together go on
I have to give it back tonight., i it back tonight have give
Are they busy?, they busy
You can't believe a word he says., you he word say believe say no
I like your hair that way., i your your hair that way like
I have a bad headache today., i bad bad headache today have
This hat is too small for me., this hat too small for this too me
Open the door., door open
Spanish is her mother tongue., spanish her her mother tongue
I used to be your age., i your your age use
Tom drives a big sedan., tom big big sedan drive
I want you to be a bridesmaid., i you bridesmaid want
May I borrow it?, i it borrow
Your problems are similar to mine., your problem similar to mine
I'm not worried about them., i worry about them no
She carried that table by herself., she that table herself carry
What are you doing next Monday?, you next next monday do what
This offer is good for five days., this offer good for this five day
There is little water left., there little little water leave leave
They might be taller than you., they tall than you
This bicycle belongs to my brother., this bicycle my this my brother belong to
Who gave you that package?, you that package give who
I have a solution in mind., i solution in mind have
He won the lottery., he lottery win
I'm a married woman now., i married married woman now
That's all that matters., that that all matter matter
The dog was out of breath., dog breath
Which horse did you bet on?, you which horse bet on
No one says that., no one no that say
"I like music, especially classical music."," i classical music , especially music like"
I'm going to count to three., i three go count to
I already know the answer., i already answer know
"You're on the list, aren't you?", you you list no
You're preaching to the choir., you choir preach to
Don't you see what you're doing?, you you see do what no
Tom would enjoy doing that., tom that do
I suppose that's all right., i that all right all suppose
I have to study for the test., i test have study for
I feel honored., i honor feel honor
This is how the accident happened., this accident happen how
We can't trust Tom anymore., we tom anymore trust no
He takes after his father., he his his father take after
Tom doesn't seem much happier., tom happy much happy seem much no
Tom must learn French., tom french learn
I don't care about politics., i politics care about no
Nobody backed up what I said., nobody i back up say what
Let's talk about solar energy., 's solar solar energy let talk about
Are you having fun?, you fun have
There was a problem., there problem be
I'm the richest one here., i rich rich one here
I know it's important to you., i it important to you know
You're such a wimp., you such wimp
I can't believe you're getting married., i you believe marry no
Do you want this?, you this want
That's a photo of my sister., that my photo of my sister
I'm no longer depressed., i longer depress no longer
She is on friendly terms with him., she friendly friendly term with him
You are so childish sometimes., you so childish so sometimes
His office is on the eighth floor., his office eighth eighth floor
"Let me treat you next time, then.", me next you next time then let treat
It is completely out of the question., it completely question
I really think we shouldn't do that., i we really that think do no
He was not impressed., he impressed no
He was buried in this graveyard., he this graveyard bury in
I was last., i last
I think we should quit., i we think quit
I want to go with you., i you want go with
I think you should do it yourself., i you it yourself think do
"In case of an emergency, dial 110.",case of emergency 110 dial
Tom didn't believe Mary., tom mary believe no
I don't think that's helping., i that think help no
I can't stand his arrogance., i his his arrogance stand no
You must not behave like this., you this behave like no
We're going to be late again., we late again go
I just didn't know what to do., i just know do what no
What did you do this time?, you this time do what
When did the accident take place?, accident place take when
I owe you nothing., i you nothing owe
Tom looks sleepy this morning., tom sleepy this morning look
"Sorry, I've got my hands full now.", i my full my hand now get
This is quite shocking., this quite shock quite
You've seen what this machine can do., you this machine this see do what
I'm glad you appreciated that., i glad you appreciate that appreciate
You're just like your mother., you your just your mother
You're the oldest., you old old
How many bags did you have?, many you many bag have how
Keep your dirty hands off me!, your dirty your dirty hand me keep
I'm sorry that I didn't reply sooner., i sorry i reply sooner reply sooner no
I'm not going to play this game., i this game go play no
He asked me what I expected., he i me ask expect what
Who will act as spokesman?, spokesman act as who
Mathematics is basic to all sciences., mathematics basic to all science
I'm sick of lying., i sick of lie
Tom is in command., tom command
She is not herself today., she herself today no
Look at the picture., picture look at
There's still some room in the closet., there still some room in closet 's still
We haven't eaten., we eat no
You are not a coward., you coward no
Could you take our picture?, you our our picture take
Please give me a glass of water., me glass of water give
Today is a holiday., today holiday
I came to see Tom., i tom come see
That is what I want to know., that i want know what
Mary is weird., mary weird
Did I say something funny?, i funny something funny say
I've decided never to vote again., i again decide never vote again no
I wasn't prepared for this., i prepare for this prepare for no
I feel like a fool., i fool feel like
We arrived tired and hungry., we tired and hungry arrive
Tom mistook me for my older brother., tom my old me my old brother mistake
I had hoped we might become friends., i we friend hop become
Where is my beer?, my beer where
Many people think I'm crazy., many people i crazy think
I'm leaving tonight for Australia., i tonight australia leave
Let's see what we're dealing with., 's we what let see deal with
I ended up winning., i end up win
I need air., i air need
Isn't that romantic?, that romantic no
You sure have a beautiful garden!, you beautiful sure beautiful garden have
He solved all those problems with ease., he all those problem with ease solve
Is anybody else in the house?, anybody else in else house
Where will you be?, you where
What a hypocrite!, what
It's not just a game., it just game no
I have something of yours., i something of yours have
Tom closed his eyes again., tom his his eye again close
They haven't arrived yet., they yet arrive yet no
Thanks for stopping by., by stop by
I'm not good at negotiating., i good at negotiate no
They died one after another., they one after another die
My fingers left marks on the glass., my finger mark glass leave
I'd like you to join us., i you us like join
He respects his father., he his his father respect
I was trying to be supportive., i supportive try
You hit the bullseye., you bullseye hit
There was not enough fuel., there enough enough fuel be no
I had some help painting the fence., i some help paint fence have paint
Who were you hoping to talk to?, you hop talk to who
We might find something., we something find
I don't regret what happened last night., i last last night regret happen what no
Do you have any French newspapers?, you french any french newspaper have
What did you do with that car?, you that car do with what
Where exactly did you go?, you exactly go where
Would you accept those terms?, you those term accept
He came to Japan two years ago., he japan two year ago come to
He reached home shortly before five o'clock., he home shortly five o'clock reach home
He ordered me to sweep the room., he me room order sweep
Those are the properties that she owns., those she property that own own
When will the new magazine come out?, new magazine come out when
I washed it., i it wash
Don't write me such long letters., such long me such long letter write no
What did you do with my luggage?, you my my luggage do with what
You had plenty of opportunity., you plenty of opportunity have
You may come in now., you now come in
Shouldn't we ask Tom?, we tom ask no
The line is engaged., line engage
Who were you talking to?, you talk to who
The surviving refugees longed for freedom., survive refugee freedom survive long for
I won't let anything happen to you., i anything you let happen to no
That's an old American custom., that old american old american custom
I thought maybe that would be enough., i that enough maybe think maybe
Do you want any of this stuff?, you any of this stuff want
I don't want to go back there., i back there want go back no
I remember something., i something remember
I wrote down where I was working., i i write down work where
We're sorry we can't help you., we sorry we help you help no
I want you back here., i you back here want
I need to see you tonight., i you tonight need see
There is no grass on the moon., there no grass on moon
I love this group., i this group love
I don't like this idea at all., i this idea at all like no
I only speak a smattering of Japanese., i only smatter of japanese speak
She had the decency to apologize., she decency apologize have apologize
I'm glad you brought that up., i glad you bring that bring
Have you already eaten?, you already eat
There used to be a bridge here., there bridge here use
I can't let you go., i you let go no
Tom declined my invitation., tom my my invitation decline
I want to see it., i it want see
Can you tell us about it?, you us it tell
Why were you late this morning?, you late this morning why
Tom still has to pack his suitcase., tom his still his suitcase have pack
I come from a humble background., i humble humble background come from
The troops had plenty of arms., troop plenty of arm have
Did you pay for everything?, you everything pay for
I know that's not what you want., i that you know want what no
Don't stand in my way., my my way stand in no
I was worried., i worry
I have dandruff., i dandruff have
She is in need of help., she need of help
Most Americans are descended from immigrants., most americans immigrant descend from
Tom's dog isn't allowed in the house., tom 's dog house allow in no
Let me explain it with a diagram., me it diagram let explain
We're your last hope., we your last your last hope
What happened to all our money?, our all our money happen to what
He is a teacher at our school., he our teacher at our school
She's been sick since last Wednesday., she sick last last wednesday
She spoke to him about the matter., she him matter speak to
He searched all day for the letter., he all day letter search
Have both of you already eaten?, both of you already eat
I am the laziest person I know., i lazy i lazy person know know
I'd like you to do your best., i you your best your best like do
What is missing?, miss what
She's not the marrying type., she marry marry type no
I called you., i you call
I will show you around the city., i you city show
I write in my diary every day., i my my diary every day write in
Please turn on the radio., radio turn on
I love your eyes., i your your eye love
How could Tom do that?, tom that do how
It's not always like that., it always that no
I have no intention of changing., i no intention of have change
I'm not going to betray you., i you go betray no
Your mother is going to kill me., your mother me go kill
Stay as long as you like., you as long like stay as like
"You've thought of everything, haven't you?", you you everything think of have no
It's a pipe dream., it pipe dream
I felt embarrassed at first., i embarrass at felt
Didn't you read the manual?, you manual read no
The meeting is scheduled for 10 a.m.,meet 10 schedule for
We have been waiting here for hours., we here hour wait here
Being with you makes me feel happy., being with me happy you make feel
How did you lose your arm?, you your your arm lose how
You could've called., you call
I agree with you absolutely., i you absolutely agree with
I can't figure out anything., i anything figure out no
They can't do that., they that do no
Are they going to arrest Tom?, they tom go arrest
Tom wants to get married again., tom again want married again
Are you getting paid for this?, you this pay for
Tom couldn't sleep last night., tom last last night sleep no
Put in a little more sugar., little more little more sugar put in
Tom attended an international conference., tom international international conference attend
Could you give me some advice?, you me some advice give
What are you good at?, you good what
Should I go?, i go
How is the weather today?, weather today how
Enjoy your meal!, your your meal enjoy
What's all the fuss about?, all fuss what
Are you ready to leave?, you ready leave leave
I'm not from here., i no
Everyone seems to agree., everyone seem agree
He just returned from abroad., he just return from
That's what the law says., that law say what
You should stay away from Tom., you away from tom stay away
Why would Tom leave?, tom leave why
Why did you try to run away?, you away try run away why
Canada has thirteen provinces and territories., canada thirteen province and territory have
Your friends are late., your friend late
I said he could go., i he say go
Please send me a picture of yourself., me picture of yourself send
Where's the key?, key where
I drank beer last night., i last beer last night drink
I was sitting behind Tom., i tom sit behind
Tom got drunk last night., tom drunk last last night get
Tom's great-great-grandfather was a pirate., tom 's great great - grandfather pirate
"It's their problem, not ours."," it their their problem , ours no"
Cows give us milk., cows us milk give
Please wait outside the house., house wait outside
Here it is., it here
Do you want help with that?, you help with that want
Now isn't a very good time., good now very good time no
I know what's in the box., i box know what
"You're messing with me, right?", you right me mess with
Tom mistook me for my brother., tom my me my brother mistake
When did Tom arrive?, tom arrive when
Tom is still not a lawyer., tom still lawyer no
You can't say that., you that say no
I know Tom is a good diver., i tom good good diver know
You're wanted on the phone., you phone want on
Could you call me back later?, you me back later call
I thought you'd be pleased., i you please think
You'd better take care of it., you better care it take
Are you ready to go?, you ready go go
I'm your friend., i your your friend
I do not like this song., i this song like no
You may go there., you there go there
What do tigers eat?, tiger eat what
You made a bargain with us., you bargain us make
You took advantage of me., you advantage me take
My parents let me go there., my parent me there let go there
You must work hard to succeed., you hard work hard succeed
You should be proud of yourselves., you proud of yourselves
She grabbed him by the hand., she him hand grab
He can't afford to get married., he afford marry no
I fail to see what's so amusing., i so amuse so fail see what
He behaved like a child., he child behave like
