English,ISL-Gloss
Neither of us could've done that alone., neither of us that alone do
Are you willing to make a deal?, you will make deal make
He stood up for what was right., he right stand up what
Many Christian rituals have pagan roots., many christian ritual root pagan
I gained two kilos this summer., i two kilo this summer gain
What are you doing up?, you do up what
When did you notice that?, you that notice when
The day was exhausting., day exhaust
Tom slept on the park bench., tom park bench sleep on
Your suggestion is of no practical use., your suggestion practical no practical use
"Be careful, Tom.", careful tom
I need a job., i job need
You're very good., you very good very
He can't do that., he that do no
We all did well., we all well do well
The museum is open from 9 a.m., museum open from nine
I hadn't really thought about that., i really that think about no
I can do it., i it do
We're doing the wrong thing., we wrong wrong thing do
Is my answer correct?, my answer correct
Tom is actually not sleeping., tom actually sleep no
It was cheaper than I thought., it cheap i think think
Will you please shut the door?, you door shut
He let me go., he me let go
I don't have to tell you anything., i you anything have tell no
I refreshed myself with a hot bath., i hot myself hot bath refresh
My dog was hit by a car., my dog by car car hit by
I figured I'd find you here., i i you here figure find
You can't quit now., you now quit now no
Accidents happen all the time., accidents all time happen
Give me your knife., your me your knife give
I'm looking forward to seeing you soon., i forward you soon look forward see
He missed the train by one minute., he train one minute miss
I know Tom is prejudiced., i tom know prejudice
Anything you're good at contributes to happiness., you good at contributes to happiness
He had a book in his hand., he his book in his hand have
Is there a problem?, there problem
What happened today?, today happen what
How long did you stay there?, you long there stay there how
I felt cheated., i cheat felt cheat
I don't expect you to understand it., i you it expect understand no
I woke up., i wake up
They've bet the farm on it., they farm on it bet
He is careless about money., he careless about money
Where is the difference?, difference where
He has no money., he no money have
I'm not even a little surprised., i little surprised even little no
I told you not to move., i you tell move no
This food is too salty., this food too salty this too
Do you like oysters?, you oyster like
He gave the dog a bone., he dog bone give
Tom visited four countries., tom four country visit
Could you give an example?, you example give
We're really lucky., we really lucky really
This book was written by Haley., this book by haley this haley write by
Let's go someplace warm., 's someplace warm someplace let go someplace
I broke up with my girlfriend., i my my girlfriend break up
He is a bad boy., he bad bad boy
Tom made a decision., tom decision make
Prices continued to rise., prices continue rise
"Don't open it, please.", it open no
The police are looking into his disappearance., police his his disappearance look into
The tower can be seen from here., tower see from
Tom wants this room spotless., tom this room spotless this want
Children need love., children love need
The mountain has a beautiful shape., mountain beautiful beautiful shape have
He is included among my friends., he my my friend include among
This restaurant is badly managed., this restaurant this badly manage
I did that a few times., i few that few time do
They did not clap for us., they us clap for no
No deaths were reported., no death no report
I hate celery., i celery hate
She owes him a lot of money., she him lot of money owe
We're from here., we
Tom is a fascinating guy., tom fascinate fascinate guy
"Spell your name, please.", your your name spell
"One day, all this will become yours.", all this one day yours become
"Unfortunately, it's true.", it true unfortunately
That toy is made of wood., that toy that wood make of
These plates aren't clean., these plat clean these no
They're not my prisoners., they my my prisoner no
Tom deserves a promotion., tom promotion deserve
I left my jacket in the classroom., i my my jacket classroom leave
You didn't try hard enough., you hard enough try hard no
I don't think it's my decision alone., i it my my decision alone think no
He did not know where to go., he know go where no
Nobody would listen to me., nobody me listen to
It's too late., it too late too
I was dumbstruck., i dumbstruck
It was a sunny day., it sunny sunny day
I really wish I could do more., i i more really more wish do
She was hungry enough to eat anything., she hungry enough eat enough anything eat
We didn't hear you come in., we you in hear come in no
You'd better let me do that., you me better that let do
The suspect was innocent of the crime., suspect innocent of crime
It's a surprise., it surprise
What will we eat?, we eat what
He struck a match., he match strike
We'll go when it quits raining., we it go quit rain when
Would you like some coffee?, you some coffee like
We didn't kill Tom., we tom kill no
Tom easily guessed Mary's password., tom mary 's easily mary password guess
I think that someone followed me., i someone me think follow
I know that better than anyone., i that good than anyone know
I'll water the garden., i garden water
I'm surprised that Tom doesn't speak French., i surprised tom speak french speak no
She had the box carried downstairs., she box carry downstairs have carry
I outrank you., i you outrank
I don't want you to be hurt., i you want hurt no
"No pain, no gain.", no no
You wash the potatoes., you potato wash
What're you all dressed up for?, you all dress up what
Why are you apologizing?, you apologize why
It's already 7 o'clock., it already seven o'clock
You can't handle this alone., you this alone handle no
I got a letter from her today., i letter from her today get
Is this understandable?, this understandable
I won't make the same mistake again., i same same mistake again make no
I'm tired of cleaning up after you., i tired of you clean up
He painted all the walls green., he green all wall green paint
His prediction has come true., his prediction true come
Was it complicated?, it complicate
That's what's crazy., that crazy what
They play together a lot., they together lot play together
You didn't have to wake me up., you me have wake no
I'd be delighted., i delight
Why are you all laughing?, you all laugh why
I want you to follow orders., i you order want follow
I want you to do some research., i you some research want do
She is as busy as a bee., she as busy as as bee
Am I on the right road?, i right right road
You've gotta be kidding!, you get kid
Do I need to wear a tie?, i tie need wear
I know that I'm rambling., i i know ramble
Tom is a good kisser., tom good good kisser
A true gentleman never betrays his friends., true gentleman his his friend betray no
You're the best singer I know., you best i best singer know know
He was thrown behind bars., he bar throw behind
"Tom, say something.", tom something say
Are you through with your breakfast?, you your your breakfast
Is eating people wrong?, wrong people wrong eat
Poverty is the root of all evil., poverty root of all evil
Can I ask you a personal question?, i personal you personal question ask
All of us play the piano., all of us piano play
My mother is out., my mother out
I've got a busy schedule., i busy busy schedule get
Tom wasn't wearing his seat belt., tom his his seat belt wear no
I can't finish this by tomorrow., i this tomorrow finish no
There were no mistakes., there no mistake be
May I try it?, i it try
What vegetables do you usually grow?, you what vegetables usually grow
"Forgive me, I'm a bit nervous.", i bit nervous me bit forgive
You have a sense of humor., you sense of humor have
Baby teeth are sharp., baby teeth sharp
I'm not advocating that., i that advocate no
Did you hear what we said?, you we hear say what
She is about as tall as me., she about as tall as about as me
I don't want to fight with you., i you want fight with no
Ask me again in October., me again october ask
I came in through the window., i window come in
I got on the wrong bus., i wrong wrong bus get on
We have plenty of time tonight., we plenty of time tonight have
Maybe I'll tell you more later., i maybe you more later tell
Ask your question., your your question ask
I have something you want., i you something want have want
I think that I came too early., i i too early think come too
We both want the same thing., we both same same thing want
He was hurt in the accident., he accident hurt in
Mail this letter., this letter
Have you decoded the message yet?, you message yet decode
I'm lucky to have a job., i lucky have job have
The company is in the red., company red
How about you?, you how
Don't you want to say anything?, you anything want say no
I'm afraid I've offended you., i afraid i offend you offend
I bet you're right., i you right bet
They know our plans., they our our plan know
She advised him to stop drinking., she him advise stop drink
You're very rude., you very rude very
I'll need that., i that need
It's more trouble than it's worth., it more it worth more trouble 's
She is devoted to her three children., she devote to her her three child
I'm perfect for you., i perfect for you
I took care of it myself., i care it myself take
We don't go to school on Saturday., we school saturday go to no
Why don't we just cancel the meeting?, we just meet cancel why no
I'll destroy it., i it destroy
Don't try to make me angry., me angry try make no
He makes believe he is rich., he he rich make believe
Please show it to me again., it to me again show
Turn left at the next corner., next next corner turn leave at
I gave most of my money away., i most my most of my money away give
I owe you something., i you something owe
I'm awfully afraid of heights., i awfully afraid of awfully height
I can't move., i move no
Her composition was free from mistakes., her composition free from mistake
I think my suitcase was stolen., i my suitcase think steal
My left arm is asleep., my left arm asleep
I haven't spoken with Tom yet., i tom yet speak with no
I usually agree with Tom., i usually tom agree with
It was out of his reach., it his his reach
It's time to do it., it time do it do
She is prudish., she prudish
Can I see you at ten tomorrow?, i you ten tomorrow see
I wish you all good luck., i good you all good luck wish
Don't you want to go?, you want go no
I want to continue doing that., i that want continue do
I like wearing old clothes., i old old clothes like wear
Is it OK if I kiss you?, it ok i you kiss
How much does the job pay?, much much how
Water conducts electricity., water electricity conduct
Did he touch you?, he you touch
I didn't know they could do that., i they that know do no
I'll stay at home tomorrow., i home tomorrow stay at
I used to live near the ocean., i ocean use live near
I'm 99% sure.,i % sure 99 %
He's kind of handsome., he of handsome kind of
There is a marked difference between them., there mark mark difference between them
Stop sucking up to the teacher., teacher stop suck up
We all know Tom can't swim., we all tom know swim no
Why don't you grow up?, you grow up why no
They really did win., they really win
Your efforts will soon pay off., your effort soon pay off
I'm not well., i well no
"Next year, I'll return to Boston.", next i next year boston return to
It's extremely ugly., it extremely ugly extremely
He does it fast., he it fast
Why are you so smart?, you so smart so why
He often eats fish for dinner., he often fish dinner eat
Don't forget your water bottle., your your water bottle forget no
It's natural for you to think so., it natural you so think so
I won't pay for that., i that pay for no
I asked her out on a date., i her date ask
Did Tom find it?, tom it find
Can you really swim?, you really swim
Two men wearing masks robbed the bank., two men wear two mask bank wear rob
I really like being alone., i alone really like
The coffeepot is boiling., coffeepot boil
What is the delay?, delay what
Do you have a reservation?, you reservation have
All sales are final., all sale final all
I'm not your daughter., i your your daughter no
I'm the only one who survived., i only only one survive survive who
Welcome to the club., club welcome to
We have made friends with Tom., we friend tom make
Japanese office workers work very hard., japanese office worker very hard work very
You can't win every time., you every time win no
Have you put on weight?, you weight put on
I don't pretend to understand global warming., i global global warm pretend understand no
Small family farms were disappearing., small family farm disappear
Who needs that?, that need who
They're not coming back., they back come back no
Is it credible?, it credible
The camera will cost at least $500.,camera at least $ 500 cost at
There's someone behind you., there someone behind you 's
Please be quiet., quiet
It is already time to leave., it already time leave leave
Nothing I did helped., i help
It's an old picture., it old old picture
He is likely to win the game., he likely win game win
I don't like that one., i that one like no
Could I use the phone?, i phone use
I was fired., i fire
Keep up with the times., time keep up
You said it yourself., you it yourself say
Tom asked Mary to pick John up., tom mary john ask pick
Have you put on sunscreen?, you sunscreen put on
She glanced around., she glance around
Please call a taxi for me., taxi me call
Tom is also studying French., tom also french study
I don't have travel insurance., i travel insurance have no
Tom only eats fruit., tom only fruit eat
There are no more bullets., there more more bullet
My neighbors are crazy., my neighbor crazy
They don't take care of that dog., they care that dog take no
Don't make this personal., personal this personal make no
He doesn't watch television at all., he television at all watch no
You took the wrong key., you wrong wrong key take
I am doing my best., i my best my best do
Tom is likely to be ready., tom likely be ready
You're not in charge., you charge no
Are you tall?, you tall
I know this is true., i this true know
You underestimate your importance., you your your importance underestimate
I must remember to see her., i her remember see
Tom said that Mary yelled at him., tom mary him say yell at
Tom isn't able to come today., tom able come today come no
He is not himself today., he himself today no
I thought you were serious., i you serious think
They're anxious for peace., they anxious for peace
She competed against many fine athletes., she many fine many fine athlete compete against
I'm not always at home on Sundays., i always home on sundays no
I'll come back tomorrow if I can., i i back tomorrow come back
You're very forward., you very forward
What do you seek?, you seek what
Everybody's talking about what happened., everybody talk about happen what
I don't have a home., i home have no
The water was warm., water warm
Tom ate a lot more than me., tom more lot more than me ate
I've completely recovered., i completely recover
I thought you were broke., i you think break
The cat ran up the tree., cat tree run up
You have no right to do this., you no right do this have
He tried to commit a suicide., he suicide try commit
Was it funny?, it funny
I don't eat pork., i pork eat no
I was good., i good
They glanced at each other., they other each other glance at
I hope it wasn't too boring., i it too bore too hope no
She was satisfied with the result., she satisfy with result
Thanks for doing all this., all this do
When is he coming back?, he back come back when
He looked well., he well look well
"It's my fault, not yours."," it my my fault , yours no"
He finds faults with everything I do., he i fault everything do find do
Tom shouldn't do that kind of thing., tom that kind of thing do no
Twelve people have walked on the moon., twelve people twelve moon walk on
I usually do that on Mondays., i usually that mondays do
I like to eat meat., i meat like eat
Hackers break into computers without permission., hackers computer permission break into
Why wouldn't we do that?, we that do why no
Do you understand that?, you that understand
Could somebody get me a spoon?, somebody me spoon get
Is there anybody here you don't know?, there you anybody here know know no
We toured all the major cities., we major all major city tour
Are you real sure about that?, you real sure about real that
Tom was given a warm reception., tom warm warm reception give
I feel like I know you., i i you feel know
You're going to pay for this., you this go pay for
The snow is very deep., snow very deep very
Everyone has to start somewhere., everyone somewhere have start somewhere
I never heard from him again., i him again hear from no
Tom must be furious., tom furious
Are you sure it's impossible?, you sure it 's impossible
I can carry those suitcases for you., i those suitcase for you carry
I bought this for you., i this for you buy
Cherry trees are planted along the street., cherry tree street plant along
I remember that., i that remember
It's a miracle., it miracle
I just want to get married., i just want marry
This is top secret., this top secret top secret
You don't have to help me., you me have help no
I'm not sure if that'll help., i sure that help help no
Don't be late for the train., late for train no
Make him work for it., him it make work for
What exactly happened?, exactly happen what
We shouldn't have stayed up till 2:30.,we 2:30 stay up no
I don't want to quit., i want quit no
This is how I usually cook fish., this i usually fish cook how
That's all I care about., that i all care care about
My father died of lung cancer., my father lung cancer die of
You must read between the lines., you line read between
I want to make one thing clear., i one thing clear one want make
Is that healthy?, that healthy
He's getting used to that situation., he that situation use to
I didn't realize you could speak French., i you french realize speak no
I quite agree with you., i quite you agree with
Who left this mess in the toilet?, this mess toilet leave who
Ring the bell., bell ring
Nobody called Tom., nobody tom call
I have many discs., i many many disc have
They're really good at making clothes., they really good at really clothes make
She went to the hairdresser's., she hairdresser 's go to
Tom fell asleep with the light on., tom asleep light fell
What's the problem with your computer?, problem with your your computer what
He owes his wealth to good luck., he his good his wealth good luck owe
Are you retarded or something?, you retard
I figured you'd be impressed., i you impress figure
He is working in AIDS research., he aids research work in
My bicycle was stolen., my bicycle steal
I had no idea you could dance., i you no idea dance have dance
I just know that it's not right., i it right just know no
I got the engine going., i engine get go
Tell Tom I'll be back., i tom back tell
How do you read this kanji?, you this kanji read how
They say that he's still alive., they he alive still say
Tell me about it!, me it tell
I've figured out the puzzle., i puzzle figure out
I must decline., i decline
It has been snowing for two days., it two day snow for
I wonder if you'd help us., i you us wonder help
I have to buy a new scanner., i new new scanner have buy
I'm glad to be home., i glad be home
Tom will fix it., tom it fix
His father eats there twice a week., his father there twice week eats there
You're a little overweight., you little little overweight
He became world famous., he world famous world become
Are you the prophet?, you prophet
He's worried about his receding hairline., he worry about his his recede hairline recede
I'm tired of all your fussing., i tired of your all your fuss
I got up early today., i early today get up
I was just trying to be helpful., i helpful just try
Tom remained silent., tom silent remain
Doing that won't take much time., doing that much that much time doing take no
I wanted to say no., i no want say
The birds sang., bird sang
I had a really good time yesterday., i good really good time yesterday have
Did you have fun?, you fun have
It always snows in the Alps., it always alps snow in
I will advise you on the matter., i you matter advise
Hand me that magazine., me that magazine hand
Tom's situation was different., tom 's situation different
You're not my friend., you my my friend no
Can you tell me where I am?, you i me tell where
I daydreamed all day., i all day daydream
It's very likely Tom will do that., it very likely tom very that do
She sells vegetables., she vegetable sell
I don't want to be rich., i rich want no
This is my notebook., this my my notebook
Stop! You're hurting him!, you him stop hurt
Mother is preparing lunch., mother lunch prepare
Let me just finish this., me just this let finish
Let's go out on the balcony., 's balcony let go out
"These flowers are beautiful, aren't they?", these flower beautiful they these no
We have come a long way., we long long way come
I always study hard., i always hard study hard
I don't know English., i english know no
There are many parks in Boston., there many many park boston
My left hand is numb., my left hand numb
I wear designer clothes myself., i designer clothes myself wear
I'm not afraid of you., i afraid of you no
He is almost always at home., he almost always home
He'll arrive within an hour., he hour arrive within
Did you sew this by hand?, you this hand sew
I really need to talk to someone., i really someone need talk to
Where's the closest pharmacy?, close pharmacy where
It has to stop., it have stop
She persuaded him to marry her., she him her persuade marry
You always ask too many questions., you many always too many question ask too
You should have seen him., you him see
We close at midnight., we midnight close at
Science is cool., science cool
I can't believe it either., i it either believe no
"He who laughs last, laughs best.", he laugh last last best laugh laugh best who
My husband is a good man., my husband good good man
Americans eat a lot of meat., americans lot of meat eat
What did you hear?, you hear what
Won't you have some more tea?, you more some more tea have no
I don't particularly care what you think., i you particularly care think what no
We have checked., we check
The light turned green., light green turn
I'll take care of the cat., i care cat take
"You were afraid, weren't you?", you afraid you no
She played a sonata., she sonata play
I know him better than anybody., i him good than anybody know
He likes that video game very much., he that video game very much like
I answered the question., i question answer
This is an important event., this important important event
The walls were painted light brown., wall light light brown paint
I don't have your wit., i your your wit have no
Is there another way in?, there another way
Did you volunteer us?, you us volunteer
This isn't mine., this mine no
She didn't pay back the money., she money pay back no
I wonder what Tom thought of it., i tom it wonder thought of what
Almost everyone believed the rumor., almost everyone almost rumor believed
Tom was really unlucky., tom really unlucky really
Sorry to bother you., sorry you bother
What could be the meaning of it?, mean of it what
This is a time of rejoicing., this time of rejoice
I can't be killed so easily., i so easily kill so no
That town is two miles away., that town that two mile away
They kept their relationship a secret., they their their relationship secret keep
I love learning French., i french love learn
We won't change anything., we anything change no
The weather is getting worse., weather bad get
It's raining hard tonight., it hard hard tonight rain
I haven't seen him lately., i him lately see no
You made a big mistake., you big big mistake make
This isn't a party., this party no
I'd never seen you like that before., i you that before see no
My neighbors left yesterday., my neighbor yesterday leave
You need to be patient., you patient need
Tom is perfect for you., tom perfect for you
We have so much to do., we much so much do have so do
I want it to be a success., i it success want
He is rather hard to please., he rather hard rather please
She is in a green dress., she green green dress
I never said I didn't want you., i i you say want no
I think I left the water running., i i water run think leave run
I bought a new computer last month., i new last new computer last month buy
Tom is rather optimistic., tom rather optimistic rather
Tom left the door open., tom open door open leave
Tom is friendly to everyone., tom friendly to everyone
You must be more polite., you more polite more
His memory amazes me., his memory me amazes
Who hid my suspenders?, my my suspender hide who
Could you answer a question for me?, you question for me answer
Where did you guys grow up?, you guy grow up where
We must go., we go
That was three months ago., that three month ago
I know Tom is discouraged., i tom know discourage
What can I say to convince you?, i you say convince what
I will wait until she comes., i she wait come
The train arrived on time., train time arrive on
There may be a problem with that., there problem with that
This is an easy sentence., this easy easy sentence
I think you should reexamine the situation., i you situation think reexamine
This time I'll try it., i this time it try
Thank you just the same., same you just same thank
Why aren't you at work?, you work why no
"I'm not a doctor, but a teacher.", i doctor no
Tom doesn't like any sport., tom any sport like no
Boy was I naive., i naive
I don't have an opinion either way., i opinion either way have no
Let's sit here until the sun sets., 's here let sit here set
I didn't order dinner., i dinner order no
I didn't ask you that., i you that ask no
I know you can help us., i you us know help
This suitcase is too heavy for you., this suitcase too heavy for this too you
She is very much like her mother., she her very much her mother
Get out while you can., you get out
I hear someone coming., i someone hear come
At what time did he leave?, he what leave
Are you smiling?, you smile
She has a little bread., she little little bread have
Paramedics arrived on the scene within minutes., paramedics scene minute arrive on
She cried when she heard the story., she she story cry hear when
I love you the most., i you most love
That could've been prevented., that prevent
What is it you have against Tom?, it you tom have against what
We are leaving Japan tomorrow morning., we japan tomorrow morning leave
Where's my money?, my money where
They made the right choice., they right right choice make
I don't care who you are., i you care who no
I don't know where he comes from., i he know come from where no
The story doesn't end there., story there end there no
Tom has a lot of responsibilities., tom lot of responsibility have
I want you to let me go., i you me want let go
We've got our own problems., we our own our own problem get
You'd be the one to know., you one know know
I didn't hear anything., i anything hear no
Thanks for the updates., update
They forced me out., they me force
Don't tell anyone we're doing this., we anyone this tell do no
He died yesterday., he yesterday die
He's afraid of snakes., he afraid of snake
Do I look like a plumber?, i plumber look like
Catch the ball., ball catch
Tom also taught French., tom also french teach
She is handicapped by poor hearing., she by poor hear poor hear handicap by
Tom made plans., tom plan make
Are all of them your friends?, all of your them your friend
Tom is a Muslim., tom muslim
How did you lose it?, you it lose how
I like your shoes., i your your shoe like
Come on! We'll be late., we late come on
I was able to solve the problem., i able solve problem solve
Tom may not be wrong., tom wrong no
I'm doing it myself., i it myself do
Who said you could speak?, you say speak who
Why is Tom so afraid of Mary?, tom so afraid of tom so mary why
I would've done it., i it do
I don't know anything about what happened., i anything about know happen what no
Tomorrow is Christmas., tomorrow christmas
Does this skirt suit me?, this skirt this me suit
He is by far the best student., he best best student
I suppose so., i so suppose so
He shaved his mustache off., he his his mustache shave
I've seen it with my own eyes., i my own it my own eye see
They exchanged greetings., they greeting exchange
Why aren't we doing that?, we that do why no
We need to discuss this., we this need discuss
He is absorbed in reading detective novels., he detective novel absorb in read
I'm not deaf., i deaf no
I have a cold., i cold have
I'm not very interested in doing that., i very interested in very that do no
Safety is what matters most., safety most matter most what
Her family is very large., her family very large very
Who's that girl sitting over there?, that girl that over there sit over who
He seems to have been rich., he rich seem
I waited for three hours., i three hour wait for
They left it under the table., they it table leave
I've been to neither of those places., i neither of those place
I understand your reasons., i your your reason understand
I wasn't gossiping., i gossip no
My cough is getting worse., my cough bad get
"That was a big surprise, wasn't it?", that big it big surprise no
You're in danger., you danger
We often play cards on Sunday., we often card sunday play
I'm going to try., i go try
What's the special today?, special today what
I visit Boston every summer., i boston every summer visit
I did everything you asked., i you everything ask do ask
Is there anything you want to add?, there you anything want want add
It's only getting bigger., it big only get
I promise I'll find you a job., i i you promise find
You've worked hard., you hard work hard
The bomb will explode in 10 seconds.,bomb 10 second explode in
I'm looking forward to a good match., i good forward good match look forward
I tried not to worry., i try worry no
It's a huge mistake., it huge huge mistake
I enjoyed talking to him., i him talk to
It wasn't relevant., it relevant no
Why are we being punished?, we punish why
Maybe Tom knows something., tom maybe something know
Can you loan him some money?, you him some money loan
Finish your drink., your your drink finish
I have got to go now., i now get go now
I told you it was dangerous., i it dangerous you tell
We were partners., we partner
Excuse me. May I get by?, i me excuse get by
You're so picky., you so picky so
I think Tom stole my bicycle., i tom my my bicycle think steal
Women generally live longer than men., women generally long than men live long
Just be glad you're OK., glad you 're ok just
Bulgarian is like Russian., bulgarian russian
Are you on your way home?, you your your way home
Why didn't you phone before coming?, you phone before come why no
Are you happy in your house?, you happy your your house
I didn't vote., i vote no
I'm not all that busy., i that busy that no
Do you speak French fluently?, you french fluently speak
"On July tenth, the veto was announced.", veto july tenth announce
We were startled by the explosion., we by explosion explosion startle by
I couldn't breathe., i breathe no
Tom forced a smile., tom smile force
Put the broom in the closet., broom closet put
My mother cleans the room., my mother room clean
We have two kids., we two kid have
How was your test?, your test how
Let's leave when you are ready., 's you ready when let leave
That is an absolute lie., that absolute absolute lie
The hostages will be released tomorrow., hostage tomorrow release
It turned out to be true., it true turn out
The matter is all settled., matter all settle
It was all over., it all over
"I'd like to see your ticket, please.", i your your ticket like see
He knows nothing about politics., he nothing about politics know
May I borrow your lawnmower?, i your your lawnmower borrow
Visitors to Switzerland admire the Alps., visitors to switzerland alps admire
I used to play here., i here use play here
The door remained closed., door closed remain
He took off his clothes., he his his clothes take off
He kept his word., he his his word keep
There is no charge., there no charge
Tourism generated many new jobs., tourism many new many new job generate
Somebody's got to do it., somebody it got do
Tie your shoe., your your shoe tie
Did you know this at the time?, you this time know
I have another plan., i another plan have
It's for my science project., it my my science project
I don't want to be exploited., i want exploit no
Are you coming or not?, you come no
I constantly quarrel with my wife., i my constantly my wife quarrel with
The work must be completed by tomorrow., work tomorrow complete by
Drunken driving is a serious problem., drunken drive serious serious problem
"If you invite him, he may come.", you he him invite come
We all have kids., we all kid have
I don't even like you., i even you no
He'll rip my head off., he my my head rip
We're not going on vacation., we vacation go on no
I don't speak your language., i your your language speak no
I think you knew my father., i you my my father think know
I heard someone scream., i someone hear scream
We got up at dawn., we dawn get up
My watch is waterproof., my watch waterproof
Show us the room., us room show
I have a request., i request have
You'll sleep better tonight., you good tonight sleep good
My watch loses two minutes a day., my watch two minute day lose
Are you doing all right?, you right all right do all
How is your new class?, your new class how
Don't be afraid to experiment., afraid experiment experiment no
The weather is cold all year here., weather cold all year here
I hear what you're saying., i you hear say what
Things escalated quickly., things quickly escalate quickly
You'll get over it., you it get over
He was fully clothed., he fully clothe
She's accustomed to getting up early., she accustom to early get up
The new building is enormous., new build enormous
Tom didn't have to thank me., tom me have thank no
They all chuckled., they all chuckle
Can you find out?, you find out
Did you study by yourself?, you yourself study by
That is unavoidable., that unavoidable
Will you have a cup of tea?, you cup of tea have
He is clever at making excuses., he clever excuse make
These pants fit me well., these pant these me well fit
I had a bad dream last night., i bad last bad dream last night have
"You weren't serious, were you?", you serious you no
I need to open this door., i this door need open
Where's the Red Cross?, red cross where
Work is behind schedule., work schedule
The stamp came off., stamp come off
Tom told Mary to shut up., tom mary tell shut up
I'd like to talk with you privately., i you privately like talk with
I didn't want to involve you., i you want involve no
This desk is better than that one., this desk good than this that one
My grandfather loves to read., my grandfather love read
Do you have a dog?, you dog have
Tom is a teacher like me., tom teacher like me
Who would you like to speak to?, you like speak to who
I want to do that with Tom., i that tom want do
She can speak French., she french speak
All of them were handmade things., all of handmade them handmade thing
How do you remember that?, you that remember how
I'm sure this is just a misunderstanding., i sure this just misunderstand
Tom seemed to know everyone., tom everyone seem know
I have enough money to buy this., i enough enough money buy this have buy
I'm afraid of death., i afraid of death
Do you really think it's bad?, you it bad really think
You should've never come here., you here come here no
I'm always losing my keys., i my always my key lose
Many people like to travel., many people like travel
I already ate., i already eat
I knew you wouldn't listen to me., i you me know listen to no
Do you have any French wine?, you french any french wine have
"I'd like a receipt, please.", i receipt like
We're approaching the end of our journey., we our end of our journey approach
The fork is dirty., fork dirty
All apples are red., all apple red all
Tom looks happy., tom happy look
I've never been abroad., i abroad no
I thought he was my brother., i he my my brother think
Glad to see you again., glad you again see
I thought you were in charge., i you charge think
Our boat approached the small island., our boat small small island approach
I'm not letting you do this., i you this let do no
He is a good student., he good good student
Tom doesn't know what it means., tom it know mean what no
Whose turn is it next?, turn it next whose
It's all right., it all right all
We don't want to pressure you., we you want pressure no
You're not allowed in there., you allow in no
You are a good customer., you good good customer
I don't know who to believe., i know believe who no
That's what you're good at., that you good what
I overslept again., i again oversleep again
He's not stupid., he stupid no
Sleep on it before deciding., it sleep on decide
We're not soldiers., we soldier no
Does Tom like his job?, tom his his job
You're up to something., you up to something
She advised him not to do that., she him that advise do no
I didn't tell you everything., i you everything tell no
She looks like a teacher., she teacher look like
My brother is at his desk., my brother his his desk
Viruses are much smaller than bacteria., viruses much small than much bacteria
Tom has three older brothers., tom old three old brother have
What have you done with your car?, you your your car do with what
Does Tom like swimming?, tom swim
I'm not apologizing., i apologize no
Come over for dinner sometime., dinner sometime come over
It's on its way., it its its way
A good idea came across my mind., good idea my my mind come across
I did that a lot., i that lot do
It could take a few weeks., it few few week take
My friends did that without me., my friend that me do
I stayed at a cheap hotel., i cheap cheap hotel stay at
A truck hit the dog., truck dog hit
"For me, this is not a problem.", this me problem no
I'd like another cup of coffee., i another cup of coffee like
You have been warned., you warn
I've got nothing to lose., i nothing lose get lose
We'll do it tomorrow., we it tomorrow do
I don't like waiting for you., i you like wait for no
Run and hide in the mountains., mountain run hide in
I swim in the sea every day., i sea every day swim in
That's my favorite shirt., that my favorite my favorite shirt
We've been waiting all morning., we all morning wait
There doesn't seem to be a problem., there problem seem no
I'm trying to stop Tom., i tom try stop
He's an old timer., he old old timer
Her name wasn't on the list., her name list no
It's a nice party., it nice nice party
"He can't even read, let alone write.", he even alone read let alone write no
Please give me the letter., me letter give
Please stop singing., stop sing
Tom didn't want to do that either., tom that either want do no
Which one of those is yours?, which those yours which one of
I really don't have time for this., i really time for this have no
I have a tentative schedule., i tentative tentative schedule have
There are many galaxies in the universe., there many many galaxy in universe
Tom poured Mary a glass of water., tom mary glass of water pour
How are you connected?, you connect how
Tom refused to keep working., tom refuse keep work
I used to think no one cared., i no one no use think care
You missed the point entirely., you point entirely miss
I took a shortcut., i shortcut take
I was speaking to you., i you speak to
The sky looks threatening., sky look threaten
He didn't think it was funny., he it funny think no
Anything is infinitely better than nothing., anything infinitely well than infinitely nothing
Who ate the last donut?, last last donut eat who
What's this book about?, this book this what
I'll give you a piece of advice., i you piece of advice give
I've been working all day., i all day work
He admitted that he was guilty., he he guilty admit
I've already started doing that., i already that start do
We drove across the city., we city drive across
I'll call you right after the meeting., i you right meet call
You can't come tomorrow., you tomorrow come no
This room has three windows., this room this three window have
I'm still not impressed., i impressed still no
We should help., we help
Why don't you love me?, you me love why no
Do you really believe those stories?, you really those story believe
I like raspberries., i raspberry like
Those are my orders., those my my order
What're you doing here?, you here do here what
I'm not going to name names., i names go name no
You're very nice., you very nice very
We were eating eggs., we egg eat
What had happened wasn't Tom's fault., have happen tom 's tom fault happen what no
May I make a suggestion?, i suggestion make
I saw you there., i you there saw
She is an excellent student., she excellent excellent student
That's going to cause some problems., that some problem go cause
Do you have medical insurance?, you medical medical insurance have
He waited until she came., he she wait come
He came back soon., he back soon come back
The cat is watching the fish., cat fish watch
It affects all of us., it all of us affect
My money was stolen., my money steal
My father quit drinking., my father drink quit
Why not apply for that job?, that job apply for why no
I'm one of your employees., i your one of your employee
I don't know who's coming., i know come who no
Who here understands French?, french here french understand who
I tried to do all I could., i i all could try do
I don't want to get sick., i sick want get no
